CountryID,Country_Name,Region,World_Rank,Region_Rank,2013_Score,Property_Rights,Freedom_from_Corruption,Fiscal_Freedom_,Govt_Spending,Business_Freedom,Labor_Freedom,Monetary_Freedom,Trade_Freedom,Investment_Freedom_,Financial_Freedom,Population_(Millions),GDP_(Billions_PPP),GDP_Growth_Rate_(%),5_Year_GDP_Growth_Rate_(%),GDP_per_Capita_(PPP),Unemployment_(%),Inflation_(%),FDI_Inflow_(Millions),Public_Debt_(%_of_GDP)
73,Iceland,Europe,23,13,72.1,90,83,72.7,36.2,91.5,58.9,75.8,87.8,65,60,0.3,12.4,3.1,-0.2,38061,6.7,4,1013.2,99.2
74,India,Asia-Pacific,119,23,55.2,50,31,78.3,77.9,37.3,73.6,65.3,63.6,35,40,1206.9,4457.8,7.2,8.1,3694,9.8,8.6,31554,68.1
75,Indonesia,Asia-Pacific,108,20,56.9,30,30,83.4,89.2,50.2,50.8,75.5,75,35,50,241,1124.6,6.5,5.9,4666,6.6,5.4,18906,25
76,Iran,Middle East / North Africa,168,15,43.2,10,27,80.8,80.5,65.3,55,58,45.7,0,10,75.9,990.2,2,3.7,13053,15.3,21.3,4150,12.7
78,Ireland,Europe,11,3,75.7,90,75,73.8,28.8,83.4,76.6,82.8,86.8,90,70,4.6,181.6,0.7,-1,39639,15,1.1,13102,105
79,Israel,Middle East / North Africa,51,6,66.9,70,58,60.2,39.3,66.1,63.7,78.6,83,80,70,7.6,235.2,4.7,4,30975,6.9,3.5,11374.1,74.3
80,Italy,Europe,83,36,60.6,50,39,55.5,25.3,76.9,52,80.2,86.8,80,60,60.6,1847,0.4,-0.6,30464,10.7,2.9,29059.4,120.1
81,Jamaica,South and Central America / Caribbean,52,9,66.8,40,33,77.5,67.7,84.3,69.3,76.1,75,85,60,2.7,24.8,1.5,-0.5,9029,12.6,7.5,242.2,139
82,Japan,Asia-Pacific,24,6,71.8,80,80,69.2,45,81.3,80.3,90.6,81.8,60,50,127.8,4440.4,-0.7,-0.2,34740,4.2,-0.3,-1758.3,229.8
83,Jordan,Middle East / North Africa,33,4,70.4,60,45,93.6,68.8,69.2,75.5,82,79.6,70,60,6.3,36.9,2.5,5.1,5900,12.3,4.4,1469,69.8
84,Kazakhstan,Asia-Pacific,68,11,63,35,27,93.2,84.5,71.8,88.4,72.2,78.2,30,50,16.7,216.8,7.5,5.6,13001,5.4,8.3,12910.5,10.9
85,Kenya,Sub-Saharan Africa,114,18,55.9,30,22,77.5,73.5,58,57.1,73.8,66.7,50,50,40.9,71.4,5,4.3,1746,40,14,335.2,48.9
86,Kiribati,Asia-Pacific,163,36,45.9,30,31,71.2,0,59.2,78.5,78.4,55.4,25,30,0.1,0.6,1.8,-0.3,5722,N/A,2.8,3.9,10
87,"Korea, North",Asia-Pacific,177,41,1.5,5,10,0,0,0,0,0,0,0,0,24.5,N/A,N/A,N/A,N/A,N/A,N/A,55,N/A
88,"Korea, South",Asia-Pacific,34,8,70.3,70,54,73,72.8,93.6,48.7,77.9,72.6,70,70,49,1554.1,3.6,3.5,31714,3.4,4,4660.9,34.1
89,Kuwait,Middle East / North Africa,66,7,63.1,50,46,99.9,61.5,57.7,62.8,71.6,76.8,55,50,3.7,153.5,8.2,3.1,41691,N/A,4.7,398.6,7.3
90,Kyrgyz Republic,Asia-Pacific,89,15,59.6,20,21,94.8,56.4,73.2,88.6,66.7,75.4,50,50,5.5,13.1,5.7,4.8,2372,8.6,16.6,693.5,52.4
91,Laos,Asia-Pacific,144,33,50.1,15,22,79.7,85.8,62.1,54.7,73,58.7,30,20,6.6,17.4,8.3,7.9,2659,2.5,8.7,450,57.4
92,Latvia,Europe,55,25,66.5,50,42,84.4,53.6,75.7,64.4,78.3,86.8,80,50,2.2,34.9,5.5,-1.7,15662,15.4,4.2,1562.1,37.8
93,Lebanon,Middle East / North Africa,91,10,59.5,20,25,90.8,74.6,50.3,57.2,76.5,80.4,60,60,4,61.4,1.5,6.7,15523,N/A,5,3200,136.2
94,Lesotho,Sub-Saharan Africa,155,38,47.9,40,35,48.2,0,63.7,62.8,75.7,69.1,45,40,1.9,3.8,4.2,4.6,1960,N/A,5.6,52,39.6
95,Liberia,Sub-Saharan Africa,147,33,49.3,30,32,76.6,77.8,56.5,47.2,72,61.4,20,20,3.9,1.8,6.4,5.7,456,N/A,8.5,508,13.9
98,Lithuania,Europe,22,12,72.1,60,48,92.8,53.6,77.6,64.1,78.3,86.8,80,80,3.3,61.6,5.9,0.7,18856,15.4,4.1,1217.1,39
99,Luxembourg,Europe,15,6,74.2,90,85,65,47.1,74.8,39,79.3,86.8,95,80,0.5,41.2,1,1.1,80119,5.2,3.4,17530.1,20.8
100,Macau,Asia-Pacific,26,7,71.7,60,51,73.5,91.5,60,55,81.3,90,85,70,0.57,28.7,26.4,N/A,48923,2.9,5.8,4365,0
101,Macedonia,Europe,43,21,68.2,35,39,91.4,69.1,80.3,78.4,84,84.6,60,60,2.1,21.3,3,3,10367,31.4,3.9,421.9,28.1
102,Madagascar,Sub-Saharan Africa,73,5,62,40,30,90,94.6,63.5,47.4,74.9,74.6,55,50,21.9,20.4,0.5,2,934,N/A,10.6,907.4,5.7
103,Malawi,Sub-Saharan Africa,118,20,55.3,40,30,78.4,60,41.1,58.8,72.5,71.8,50,50,16.2,13.9,5.5,7.8,860,N/A,7.6,56.3,42.5
104,Malaysia,Asia-Pacific,56,9,66.1,55,43,85.1,73.5,79.9,72.3,79.8,77,45,50,28.7,447.3,5.1,4.3,15568,3.1,3.2,11966,52.6
105,Maldives,Asia-Pacific,149,34,49,25,25,98.8,14.5,88.7,64,70.4,43.7,30,30,0.3,2.8,7.4,6.1,8731,14.5,12.1,281.6,69.1
106,Mali,Sub-Saharan Africa,111,17,56.4,30,28,69.6,83.9,50.1,64.6,79.9,73.2,45,40,15.9,17.9,2.7,4.4,1128,N/A,3.1,177.8,30.6
107,Malta,Europe,47,23,67.5,75,56,61.2,44.1,61.1,65.4,80.4,86.8,85,60,0.4,10.8,2.1,2,25428,6.4,2.4,538.5,70.9
108,Mauritania,Sub-Saharan Africa,134,28,52.3,25,24,80.3,74.7,43.3,51.1,75.1,64.8,45,40,3.3,7.1,3.6,2.4,2179,35,5.7,45.2,92.4
109,Mauritius,Sub-Saharan Africa,8,1,76.9,70,51,92.1,81.9,78.2,72.3,75.4,87.9,90,70,1.3,19.3,4.1,4.5,14954,7.8,6.5,273.4,50.6
110,Mexico,North America,50,3,67,50,30,81.1,79.4,81.4,59.7,77.7,80.6,70,60,113.7,1661.6,4,1.4,14610,5.3,3.4,19554.4,43.8
111,Micronesia,Asia-Pacific,143,32,50.1,30,30,97.5,0,54.1,82.5,76.1,81,20,30,0.1,0.2,1.4,N/A,2237,N/A,7.9,7.8,N/A
112,Moldova,Europe,115,39,55.5,40,29,87.2,50.1,69.7,40.9,73.4,80,35,50,3.6,12,6.4,3.5,3373,6.7,7.7,274,23.4
113,Mongolia,Asia-Pacific,75,12,61.7,30,27,82.5,62.6,70.4,79.2,75.6,79.8,50,60,2.8,13.3,17.3,8.1,4744,9.9,9.5,4714.6,41.3
114,Montenegro,Europe,70,33,62.6,40,40,92.4,41.5,72.7,71.4,79.9,83,55,50,0.6,7.2,2.5,3.2,11545,11.5,3.1,558.1,45.8
115,Morocco,Middle East / North Africa,90,9,59.6,40,34,71.4,64.3,76.4,30.1,78.9,70.8,70,60,32.2,162.6,4.3,4.2,5052,8.9,0.9,2519.1,54.4
116,Mozambique,Sub-Saharan Africa,123,22,55,30,27,76.2,64.5,63.9,37.9,74.7,75.4,50,50,22,23.9,7.1,6.9,1085,N/A,10.4,2093.5,33.2
117,Namibia,Sub-Saharan Africa,84,9,60.3,30,44,66.4,71.5,68.4,76.7,74.9,81.5,50,40,2.1,15.7,3.6,3.7,7363,51.2,5.8,899.7,21.9
118,Nepal,Asia-Pacific,141,31,50.4,30,22,85.8,89.2,57.2,44.3,75.1,60.8,10,30,28.5,37.8,3.5,4.4,1328,46,9.6,95.5,34.1
119,Netherlands,Europe,17,8,73.5,90,89,52.1,24.7,83,58.6,81.1,86.8,90,80,16.7,704,1.3,1,42183,5.3,2.5,17129.4,66.2
120,New Zealand,Asia-Pacific,4,4,81.4,95,95,71.5,33.2,99.9,89.5,83.3,86.8,80,80,4.4,122.2,1.4,0.7,27668,6.6,4,3369.2,37
121,Nicaragua,South and Central America / Caribbean,110,21,56.6,15,25,78.7,65.1,51.2,62.2,73.2,85.4,60,50,5.9,18.9,4.7,2.8,3206,8,8.1,967.9,72
122,Niger,Sub-Saharan Africa,128,26,53.9,30,25,77,80.1,35.2,39.3,85.4,71.7,55,40,15.1,11.6,2.3,4.3,771,N/A,2.9,1013.6,18.9
123,Nigeria,Sub-Saharan Africa,120,21,55.1,30,24,82.6,74.6,55.7,67.2,73.3,63.9,40,40,160.3,413.4,7.2,7,2578,21,10.8,8915,17.9
124,Norway,Europe,31,16,70.5,90,90,51,40.3,92.6,44.7,76.9,89.3,70,60,5,265.9,1.7,0.7,53471,3,1.3,3568.8,49.6
125,Oman,Middle East / North Africa,45,5,68.1,50,48,98.5,69.1,68.1,80.9,72.7,78.7,55,60,3.1,81.8,5.5,5.7,26519,N/A,4,788,5.1
126,Pakistan,Asia-Pacific,121,24,55.1,30,25,80.5,89,70.7,47.9,67,66,35,40,175.3,488.6,2.4,3.7,2787,5.6,13.7,1327,60.1
127,Panama,South and Central America / Caribbean,71,13,62.5,30,33,86.2,77.8,72.5,40.1,75.9,74.8,65,70,3.6,50.6,10.6,8.8,14097,4.5,5.9,2789.8,37.8
