date,type,wavg_score
2015/03/15,fel,931.4318302060044
2015/03/15,hat,991.4691031556099
2015/03/15,off,994.4606340329493
2015/03/15,par,946.3433075358716
2015/03/15,pol,959.7697997585445
2015/03/15,pro,865.0399127818885
2015/03/15,rsa,928.7418405674644
2015/03/15,sam,934.5799201698082
2015/03/15,trq,603.7580176393645
2015/03/15,zult,984.5338052088235
2015/03/16,adt,967.6486739167004
2015/03/16,alc,989.427830587812
2015/03/16,arf,978.4968814161173
2015/03/16,dlm,994.1830475278745
2015/03/16,dlmplus,991.364149517126
2015/03/16,drg,982.9084476124631
2015/03/16,fel,927.29412437666
2015/03/16,hat,990.7719758785124
2015/03/16,off,994.6744819891433
2015/03/16,par,944.8960315634206
2015/03/16,pol,957.9227532122417
2015/03/16,pro,876.1398343960377
2015/03/16,rsa,939.9341074641881
2015/03/16,sam,947.5951932381372
2015/03/16,trq,615.7388873139054
2015/03/16,zult,988.3482169488238
2015/03/17,adt,961.7063173123483
2015/03/17,alc,989.2748127177193
2015/03/17,arf,925.4358556373901
2015/03/17,dlm,994.738068457428
2015/03/17,dlmplus,991.2540988468124
2015/03/17,drg,979.0959294105228
2015/03/17,fel,929.7391950540614
2015/03/17,hat,990.8153253059498
2015/03/17,off,994.86320158701
2015/03/17,par,942.4245940177454
2015/03/17,pol,960.1620994734235
2015/03/17,pro,880.9320855177846
2015/03/17,rsa,941.5655668031883
2015/03/17,sam,954.4561450488741
2015/03/17,trq,626.0950522241153
2015/03/17,zult,988.9794447968524
2015/03/18,adt,966.7605114099911
2015/03/18,alc,988.6415435202828
2015/03/18,arf,977.4493026805044
2015/03/18,dlm,994.0617227241598
2015/03/18,dlmplus,990.0182528789256
2015/03/18,drg,949.6594936081624
2015/03/18,fel,924.8502223104923
2015/03/18,hat,990.3301165720661
2015/03/18,off,994.8012216414502
2015/03/18,par,944.5525305227383
2015/03/18,pol,903.5572664934734
2015/03/18,pro,879.0211626685758
2015/03/18,rsa,944.6584997608111
2015/03/18,sam,954.8456748572495
2015/03/18,trq,618.3701540423441
2015/03/18,zult,988.0639123496476
